DeleteUnusedEBS,ClaxtonOps,23825,aws,https://github.com/ClaxtonOps/terraform-aws-DeleteUnusedEBS,"Modulo Terraform que utiliza EventBridge, SNS e Lambda Function. A função lambda deleta todos os volumes que não estão sendo utilizados, menos os que EBS com a tag em conformidade com o ambiente."
Docker-instance,danacitugba,18190,aws,https://github.com/danacitugba/terraform-aws-Docker-instance,
E2-Micro-Always-Free-Instance,adarobin,9746,oci,https://github.com/adarobin/terraform-oci-E2-Micro-Always-Free-Instance,
EC2,sreedhar-555,14335,AWS,https://github.com/sreedhar-555/terraform-AWS-EC2,
EC2-VPC-Webserver,swamirajp7,11539,aws,https://github.com/swamirajp7/terraform-aws-EC2-VPC-Webserver,
EC2SecGroups,bensh199,23340,bens99,https://github.com/bensh199/terraform-bens99-EC2SecGroups,
EKS,erkinsinc,5911,aws,https://github.com/erkinsinc/terraform-aws-EKS,
EKS-Cluster,yashhirulkar701,16467,aws,https://github.com/yashhirulkar701/terraform-aws-EKS-Cluster,
EKS-Lil,lily4499,21997,AWS,https://github.com/lily4499/terraform-AWS-EKS-Lil,
EMIL8708,EMIL8708,23911,helm,https://github.com/EMIL8708/terraform-helm-EMIL8708,
Ec2,SaiSindhuja1529,19428,aws,https://github.com/SaiSindhuja1529/terraform-aws-Ec2,
Ec2_1,SaiSindhuja1529,19429,aws,https://github.com/SaiSindhuja1529/terraform-aws-Ec2_1,
EdgeAcceleratedWebsite,Miouge1,4964,packet,https://github.com/Miouge1/terraform-packet-EdgeAcceleratedWebsite,Website accelerated using the Bare Metal Edge Accelerator Terraform Module
EdgeAccelerator,Miouge1,4965,packet,https://github.com/Miouge1/terraform-packet-EdgeAccelerator,Bare Metal Edge Accelerator/Reverse Proxy Terraform Module
Emil_ASENOV-docker-instance,FreeMan3106,18156,aws,https://github.com/FreeMan3106/terraform-aws-Emil_ASENOV-docker-instance,
Esin1942,Esin1942,23941,helm,https://github.com/Esin1942/terraform-helm-Esin1942,
FGT-SDWAN-Module,WEEMR,8589,aws,https://github.com/WEEMR/terraform-aws-FGT-SDWAN-Module,"Terraform Script that will create VPC, Private Subnet, Public Subnet and a FGT with 2 x WAN interfaces for SD-WAN"
FirstModule,TheTrainingBoss,18564,solliance,https://github.com/TheTrainingBoss/terraform-solliance-FirstModule,Solliance First Terraform Azure Module
FirstTerraform,dahyor005,5302,aws,https://github.com/dahyor005/terraform-aws-FirstTerraform,Ny first terraform module
Fortinet_DataCenter_Lab,WEEMR,14195,aws,https://github.com/WEEMR/terraform-aws-Fortinet_DataCenter_Lab,"Deployment script that allow you to deploy FortiGate, FortiManager, FortiAnalyzer, FortiSandbox, FortiAuthenticator and Latest Windows Server 2022 and Ubunutu"
GKE,omiradil,9052,google,https://github.com/omiradil/terraform-google-GKE,
Get-IpAvailablesAddressesSubnet,ados1991,3615,azure,https://github.com/ados1991/terraform-azure-Get-IpAvailablesAddressesSubnet,
Himstorage,him-007,10161,azure,https://github.com/him-007/terraform-azure-Himstorage,
JSONSorting,ajramesha2003,24862,AJR,https://github.com/ajramesha2003/terraform-AJR-JSONSorting,Java Sorting
Jenkins-Installation,gokhanwell,19600,aws,https://github.com/gokhanwell/terraform-aws-Jenkins-Installation,
Jenkins_Server,waqasahmed1992,15181,aws,https://github.com/waqasahmed1992/terraform-aws-Jenkins_Server,
KTHW,DTherHtun,4203,gcp,https://github.com/dtherhtun/terraform-gcp-KTHW,Kubernetes Cluster On GCP with Terraform
Krishna,Anjalidass,23203,azurerm,https://github.com/Anjalidass/terraform-azurerm-Krishna,
Kuba1991,Kuba1991,23910,helm,https://github.com/Kuba1991/terraform-helm-Kuba1991,
L7LB,pouya-racker,1389,pouya,https://github.com/pouya-racker/terraform-pouya-L7LB,
Lambda-HTTP-API,HarishKM7,8652,AWS,https://github.com/QloudX/terraform-AWS-Lambda-HTTP-API,Terraform module to deploy an HTTP API in AWS API Gateway backed by one or more Lambda functions.
Lambda-REST-API,HarishKM7,8651,AWS,https://github.com/QloudX/terraform-AWS-Lambda-REST-API,Terraform module to deploy a REST API in AWS API Gateway backed by one or more Lambda functions.
Meerim1590,Meerim1590,23912,helm,https://github.com/Meerim1590/terraform-helm-Meerim1590,
Micro-Minecraft-Bedrock-Server,adarobin,13065,oci,https://github.com/adarobin/terraform-oci-Micro-Minecraft-Bedrock-Server,
Module,munidop,23313,Azure,https://github.com/munidop/terraform-Azure-Module,
Multi-ALB-Dynamic-Module,Tejaswita1203,15412,AWS,https://github.com/Tejaswita1203/terraform-AWS-Multi-ALB-Dynamic-Module,
MultiportEcsFargateService,anilchalissery,13998,aws,https://github.com/anilchalissery/terraform-aws-MultiportEcsFargateService,
MuraNura,MuraNura,23909,helm,https://github.com/MuraNura/terraform-helm-MuraNura,
Mysql-rds,john24rel,6743,wordpress,https://github.com/john24rel/terraform-wordpress-Mysql-rds,
